original,connected,weight
0,1,4.498491667453614
0,2,2.2986978581930124
0,3,4.692071328147775
0,4,9.208284132412544
0,5,8.47992768068254
0,6,9.855642935711325
0,7,5.560441491795707
0,8,12.568359568359893
0,9,8.018226507603718
0,10,10.61402740866167
0,11,5.266549893676805
0,12,6.369974549500127
0,13,6.593324003042585
0,14,11.292987326882296
0,15,11.278171190074282
0,16,9.990756033453996
0,17,5.658178400658439
0,18,12.836708472627791
0,19,9.290600305355671
0,20,8.184736183586084
0,21,10.133225461821683
0,22,11.55586425908035
0,23,8.617236490882757
0,24,7.340739283304828
0,25,4.0104810790954915
0,26,7.064121088675044
0,27,10.712898067114851
0,28,7.380218493847339
0,29,8.386446951853573
0,30,5.422769344631872
0,31,8.902509917867217
0,32,9.027242098604153
0,33,6.2403680097127525
0,34,5.707595395456479
0,35,10.525237249896858
0,36,9.560411580472552
0,37,6.549836361152574
0,38,3.8414736026255163
0,39,8.325774002177878
0,40,4.141407545147489
0,41,6.704106036579897
0,42,9.097212730110193
0,43,9.711521198167906
1,0,4.498491667453614
1,2,2.227189888046987
1,3,5.1964145408067735
1,4,8.849523430432036
1,5,7.330439832307762
1,6,13.873695113838702
1,7,8.441579242873146
1,8,8.977253159403412
1,9,3.9731793845006598
1,10,7.089833825478513
1,11,1.6263142550812075
1,12,2.190636733687038
1,13,7.9378206849806645
1,14,8.14650949671746
1,15,9.664803761756062
1,16,6.218274435936308
1,17,9.839633082272838
1,18,10.952350646412876
1,19,11.734640420339765
1,20,4.88378247875473
1,21,14.52736335703142
1,22,9.882113471237531
1,23,9.617883461275078
1,24,11.822038430060992
1,25,8.456145527075478
1,26,6.520726694944448
1,27,13.788938824471161
1,28,6.788289571009615
1,29,9.936717683062405
1,30,6.58627800392733
1,31,5.870903698993281
1,32,5.8402515935956485
1,33,3.0232202575947227
1,34,9.57640203713336
1,35,13.417820169863521
1,36,6.562923959901008
1,37,2.752516352072319
1,38,8.315306406759756
1,39,12.53335538759224
1,40,8.376220982294685
