original,connected,weight
0,1,10.750993706177415
0,2,10.603748809435023
0,3,14.092749858817609
0,4,8.771708099484083
0,5,5.665588879854193
0,6,4.609992230589741
0,7,11.925801673246857
0,8,13.12234428480419
0,9,7.735839621867063
0,10,6.803092370533007
1,0,10.750993706177415
1,2,21.197287356337284
1,3,18.57682796545344
1,4,4.885019175430066
1,5,16.11342330278196
1,6,6.274550001365101
1,7,1.6796455535165187
1,8,18.275398763370106
1,9,12.729476406602817
1,10,17.221963922454968
2,0,10.603748809435023
2,1,21.197287356337284
2,3,14.488248882318537
2,4,19.258324014418534
2,5,6.982363008850262
2,6,15.207984169414102
2,7,22.47692577658355
2,8,13.203517095957784
2,9,12.072606173649636
2,10,6.577487301474251
3,0,14.092749858817609
3,1,18.57682796545344
3,2,14.488248882318537
3,4,20.203428508005096
3,5,16.68372355399664
3,6,16.013509835278228
3,7,20.256457593444644
3,8,1.288434561696085
3,9,6.636358614116435
3,10,17.35403035183674
4,0,8.771708099484083
4,1,4.885019175430066
4,2,19.258324014418534
4,3,20.203428508005096
4,5,13.16036245548588
4,6,4.526518358472675
4,7,4.817852667473434
4,8,19.60865325419809
4,9,13.695353305236166
4,10,14.167634635896212
5,0,5.665588879854193
5,1,16.11342330278196
5,2,6.982363008850262
5,3,16.68372355399664
5,4,13.16036245548588
5,6,9.838992143308367
5,7,17.093302165256762
5,8,15.483189457666807
5,9,11.52663596983804
5,10,1.1379427669703612
6,0,4.609992230589741
6,1,6.274550001365101
6,2,15.207984169414102
6,3,16.013509835278228
6,4,4.526518358472675
6,5,9.838992143308367
6,7,7.338098528893653
6,8,15.318958876960819
6,9,9.402105213025743
6,10,10.949434976384596
7,0,11.925801673246857
7,1,1.6796455535165187
7,2,22.47692577658355
7,3,20.256457593444644
7,4,4.817852667473434
7,5,17.093302165256762
7,6,7.338098528893653
7,8,19.951948463118242
7,9,14.379543295415935
7,10,18.177713622828026
8,0,13.12234428480419
8,1,18.275398763370106
8,2,13.203517095957784
8,3,1.288434561696085
8,4,19.60865325419809
8,5,15.483189457666807
8,6,15.318958876960819
8,7,19.951948463118242
8,9,5.9229782814077705
8,10,16.128950273524207
9,0,7.735839621867063
9,1,12.729476406602817
9,2,12.072606173649636
9,3,6.636358614116435
9,4,13.695353305236166
9,5,11.52663596983804
9,6,9.402105213025743
9,7,14.379543295415935
9,8,5.9229782814077705
9,10,12.441373629302081
10,0,6.803092370533007
10,1,17.221963922454968
10,2,6.577487301474251
10,3,17.35403035183674
10,4,14.167634635896212
10,5,1.1379427669703612
10,6,10.949434976384596
10,7,18.177713622828026
10,8,16.128950273524207
10,9,12.441373629302081
